Date,Close,High,Low,Open,Volume,currency_pair
2024-08-20,0.9020000100135803,0.9031400084495544,0.8995000123977661,0.9020000100135803,0,USD/EUR
2024-08-21,0.898639976978302,0.9004499912261963,0.8970000147819519,0.898639976978302,0,USD/EUR
2024-08-22,0.8964300155639648,0.9009600281715393,0.8962600231170654,0.8964300155639648,0,USD/EUR
2024-08-23,0.8995100259780884,0.9003499746322632,0.8931800127029419,0.8995100259780884,0,USD/EUR
2024-08-26,0.8938199877738953,0.8966299891471863,0.892769992351532,0.8938199877738953,0,USD/EUR
2024-08-27,0.8956800103187561,0.8967599868774414,0.8944900035858154,0.8956800103187561,0,USD/EUR
2024-08-28,0.8946200013160706,0.9004600048065186,0.8942999839782715,0.8946200013160706,0,USD/EUR
2024-08-29,0.8988800048828125,0.9044600129127502,0.8976500034332275,0.8988800048828125,0,USD/EUR
2024-08-30,0.9024900197982788,0.9046499729156494,0.9012500047683716,0.9024900197982788,0,USD/EUR
2024-09-02,0.9053999781608582,0.9055899977684021,0.9027199745178223,0.9053999781608582,0,USD/EUR
2024-09-03,0.9035500288009644,0.9063100218772888,0.9032999873161316,0.9035500288009644,0,USD/EUR
2024-09-04,0.9050700068473816,0.9057300090789795,0.901390016078949,0.9050700068473816,0,USD/EUR
2024-09-05,0.9024900197982788,0.9029200077056885,0.8991900086402893,0.9024900197982788,0,USD/EUR
2024-09-06,0.8999999761581421,0.9035699963569641,0.8968899846076965,0.8999999761581421,0,USD/EUR
2024-09-09,0.9019399881362915,0.9062100052833557,0.9016000032424927,0.9019399881362915,0,USD/EUR
2024-09-10,0.906000018119812,0.9077500104904175,0.9049500226974487,0.906000018119812,0,USD/EUR
2024-09-11,0.9073600172996521,0.9088600277900696,0.9045699834823608,0.9073600172996521,0,USD/EUR
2024-09-12,0.9081900119781494,0.9085500240325928,0.9051799774169922,0.9081900119781494,0,USD/EUR
2024-09-13,0.9027000069618225,0.9030200242996216,0.9006999731063843,0.9027000069618225,0,USD/EUR
2024-09-16,0.9018399715423584,0.9019500017166138,0.8980399966239929,0.9018399715423584,0,USD/EUR
2024-09-17,0.8985099792480469,0.8998399972915649,0.8971700072288513,0.8985099792480469,0,USD/EUR
2024-09-18,0.8990300297737122,0.900160014629364,0.897599995136261,0.8990300297737122,0,USD/EUR
2024-09-19,0.8996999859809875,0.9032999873161316,0.8944000005722046,0.8996999859809875,0,USD/EUR
2024-09-20,0.8959000110626221,0.8978800177574158,0.894320011138916,0.8959000110626221,0,USD/EUR
2024-09-23,0.8959900140762329,0.9021300077438354,0.8953999876976013,0.8959900140762329,0,USD/EUR
2024-09-24,0.8999500274658203,0.9005799889564514,0.8957800269126892,0.8999500274658203,0,USD/EUR
2024-09-25,0.893559992313385,0.8975300192832947,0.8918700218200684,0.893559992313385,0,USD/EUR
2024-09-26,0.898389995098114,0.8987299799919128,0.8936899900436401,0.898389995098114,0,USD/EUR
2024-09-27,0.8946800231933594,0.8987500071525574,0.8928700089454651,0.8946800231933594,0,USD/EUR
2024-09-30,0.8952699899673462,0.8979799747467041,0.8921899795532227,0.8952699899673462,0,USD/EUR
